date,temp c,ph,do (mg/l),do (%)
05/14/2015,21.58,7.37,8.38,95.31
05/17/2015,21.69,7.29,7.97,90.86
05/14/2015,21.71,7.4,8.51,97.08
05/17/2015,21.73,7.3,7.99,91.13
05/14/2015,21.89,7.45,8.68,99.31
05/17/2015,21.75,7.3,7.98,91.07
05/14/2015,22.23,7.46,8.78,101.13
05/17/2015,21.75,7.29,7.94,90.6
05/14/2015,22.47,7.53,9.01,104.24
05/17/2015,21.69,7.28,7.86,89.65
05/14/2015,22.61,7.52,9.01,104.53
05/17/2015,21.78,7.28,7.85,89.65
05/14/2015,22.92,7.56,9.15,106.72
05/17/2015,21.76,7.28,7.81,89.2
05/14/2015,23.51,7.7,9.46,111.63
05/17/2015,21.73,7.27,7.79,88.86
05/14/2015,23.59,7.6,9.24,109.2
05/17/2015,22.03,7.33,8.09,92.81
05/14/2015,23.26,7.59,9.31,109.28
05/17/2015,22.18,7.34,8.11,93.34
05/14/2015,22.96,7.49,9.09,106.19
05/17/2015,22.7,7.38,8.23,95.71
05/14/2015,22.96,7.59,9.28,108.39
05/14/2015,23.06,7.66,9.39,109.8
05/14/2015,22.62,7.44,8.86,102.79
05/14/2015,22.56,7.41,8.7,100.8
05/14/2015,22.58,7.46,8.81,102.15
05/14/2015,22.43,7.43,8.7,100.52
05/14/2015,22.29,7.37,8.48,97.72
05/14/2015,22.13,7.41,8.72,100.17
05/14/2015,22.05,7.37,8.5,97.58
05/14/2015,21.98,7.36,8.47,97.1
05/15/2015,21.88,7.31,8.19,93.66
05/15/2015,21.81,7.29,8.09,92.43
05/15/2015,21.73,7.27,7.98,91.08
05/15/2015,21.75,7.28,7.97,90.93
05/15/2015,21.75,7.27,7.91,90.25
05/15/2015,21.68,7.26,7.86,89.56
05/15/2015,21.61,7.26,7.84,89.26
05/15/2015,21.64,7.25,7.74,88.14
05/15/2015,21.45,7.25,7.74,87.83
05/15/2015,21.65,7.28,7.88,89.77
05/15/2015,21.69,7.29,7.94,90.47
05/15/2015,21.97,7.37,8.36,95.79
05/15/2015,22.45,7.39,8.42,97.41
05/15/2015,22.67,7.4,8.56,99.4
05/15/2015,22.28,7.38,8.53,98.34
05/15/2015,22.53,7.45,8.77,101.59
05/15/2015,22.74,7.52,9.01,104.76
05/15/2015,22.32,7.41,8.71,100.51
05/15/2015,22.27,7.41,8.73,100.6
05/15/2015,22.14,7.36,8.53,98.05
05/15/2015,22.22,7.39,8.65,99.58
05/15/2015,22.18,7.36,8.52,98.08
05/15/2015,22.07,7.37,8.57,98.34
05/15/2015,22,7.4,8.68,99.56
05/15/2015,22.02,7.41,8.72,100
05/15/2015,21.91,7.37,8.55,97.83
05/18/2015,22.17,7.39,8.4,96.7
05/18/2015,22.18,7.39,8.41,96.77
05/18/2015,21.92,7.37,8.41,96.32
05/18/2015,22.04,7.38,8.46,97.14
05/18/2015,22.11,7.4,8.51,97.81
05/18/2015,22.43,7.43,8.58,99.21
05/18/2015,22.32,7.42,8.59,99.13
05/18/2015,22.38,7.41,8.59,99.25
05/18/2015,22.32,7.41,8.62,99.46
05/18/2015,22.49,7.43,8.69,100.59
05/18/2015,22.44,7.42,8.7,100.69
05/18/2015,22.38,7.43,8.74,101.03
05/18/2015,22.5,7.44,8.72,100.93
05/18/2015,22.42,7.43,8.68,100.36
05/18/2015,22.38,7.44,8.73,100.92
05/18/2015,22.3,7.45,8.79,101.37
05/18/2015,22.31,7.44,8.75,101
05/18/2015,22.29,7.44,8.75,100.87
05/18/2015,22.24,7.43,8.72,100.48
05/18/2015,22.33,7.44,8.68,100.23
05/18/2015,22.29,7.47,8.82,101.79
05/18/2015,22.24,7.48,8.9,102.57
05/17/2015,22.44,7.43,8.58,99.27
05/17/2015,22.59,7.48,8.77,101.69
05/17/2015,22.6,7.49,8.82,102.27
05/17/2015,22.6,7.54,9,104.42
05/17/2015,22.67,7.55,9.03,104.88
05/17/2015,22.61,7.53,9.02,104.7
05/17/2015,22.6,7.5,8.87,102.95
05/17/2015,22.98,7.56,9.02,105.34
05/17/2015,22.99,7.55,8.99,105.09
05/17/2015,23.12,7.63,9.25,108.42
05/17/2015,23.24,7.66,9.34,109.72
05/17/2015,23.26,7.63,9.24,108.5
05/17/2015,23.21,7.6,9.1,106.8
05/17/2015,23.29,7.6,9.13,107.34
05/17/2015,23.29,7.6,9.14,107.49
05/17/2015,23.32,7.52,8.9,104.74
05/17/2015,23.54,7.62,9.18,108.38
05/17/2015,22.99,7.55,9.07,105.97
05/17/2015,23,7.64,9.39,109.83
05/17/2015,23.01,7.64,9.42,110.13
05/17/2015,22.94,7.61,9.31,108.73
05/17/2015,22.88,7.59,9.3,108.49
05/17/2015,22.8,7.57,9.26,107.86
05/17/2015,22.87,7.58,9.27,108.15
05/17/2015,22.87,7.59,9.33,108.8
05/17/2015,22.8,7.56,9.27,107.94
05/17/2015,22.77,7.52,9.19,107.03
05/17/2015,22.81,7.55,9.28,108.06
05/17/2015,22.88,7.56,9.24,107.82
05/17/2015,22.88,7.65,9.42,109.88
05/17/2015,22.87,7.63,9.42,109.87
05/17/2015,22.85,7.55,9.19,107.17
05/17/2015,22.75,7.52,9.18,106.78
05/17/2015,22.47,7.49,9.06,104.91
05/17/2015,22.55,7.49,9.08,105.31
05/17/2015,22.57,7.48,9.06,105
05/17/2015,22.61,7.47,9,104.43
05/17/2015,22.6,7.47,8.95,103.84
05/17/2015,22.44,7.44,8.86,102.52
05/17/2015,22.44,7.44,8.86,102.43
05/17/2015,22.25,7.4,8.63,99.5
05/17/2015,22.19,7.4,8.67,99.82
05/17/2015,22.16,7.39,8.59,98.79
05/17/2015,22.35,7.4,8.63,99.6
05/17/2015,22.27,7.4,8.6,99.15
05/17/2015,22.26,7.39,8.6,99.14
05/17/2015,22.25,7.4,8.55,98.58
05/17/2015,22.15,7.42,8.65,99.51
05/17/2015,22.07,7.41,8.61,98.88
05/17/2015,22.01,7.41,8.61,98.8
05/17/2015,22.02,7.39,8.5,97.56
05/17/2015,22,7.38,8.46,96.98
05/17/2015,22.04,7.37,8.37,96.09
05/17/2015,22.07,7.36,8.3,95.34
05/17/2015,22.08,7.34,8.14,93.52
05/17/2015,22.04,7.33,8.18,93.86
05/17/2015,21.98,7.33,8.14,93.35
05/18/2015,21.91,7.32,8.14,93.24
05/18/2015,21.89,7.33,8.16,93.37
05/18/2015,21.88,7.34,8.19,93.71
05/18/2015,21.89,7.33,8.1,92.7
05/18/2015,21.88,7.3,7.97,91.18
05/18/2015,21.82,7.29,7.89,90.2
05/18/2015,21.77,7.31,8,91.35
05/18/2015,21.7,7.31,8,91.22
05/18/2015,21.63,7.27,7.82,89.1
