date,description,moneyIn,moneyOut,tx
2016-08-17 14:57:13,PAYMENT SENT,0,0.0081,6dbb0f0e04eb028685eb4ca1e19a0cc9afc749f77df50c65c4178a5b56f71aa5
2016-08-17 14:51:49,PAYMENT SENT,0,0.0073,77242317d95a2498d9c22682e54253cb51837ee811035ab177c5d6e9e8d69661
2016-08-17 13:55:38,PAYMENT SENT,0,0.0061,fb8438085d369e2431a08e1791f736eca24f081d8d4548eded85e2dcd6394f45
2016-08-17 13:46:14,PAYMENT RECEIVED,0.0201,0,f1a3ca4dda639308724f04454871d8a334ed5255423b05d344b7ee8d5f500cad
2016-08-17 13:14:53,PAYMENT SENT,0,0.0021,12f97fe50e244100d4108919e5e43f3ff2e1998f5a13e60765cc813a24c55064
2016-08-17 13:14:07,PAYMENT SENT,0,0.0023,0d9a48cd9d12fb5669d631f848d684b153c162a9951f2768ee40fd1fb12786e2
2016-08-17 13:12:57,PAYMENT SENT,0,0.001983,c8604b25a0b55c4972c81ec00bc0019ce05f772c7319914679c4fc13199cc080
2016-08-17 13:12:27,PAYMENT RECEIVED,0.016383,0,f34b1f608734f204046c1098224f628677a270aaff31bb184907cff23ddbf493
2016-08-17 12:39:46,PAYMENT SENT,0,0.014861,cd2c6f8f56d88218f93db5a7c9a5cf59b407566e6330c942b5fa0e3f3fbdbf1e
2016-08-17 12:21:40,PAYMENT RECEIVED,0.014861,0,5be01a3214a946956388a79a7e9e288f03d054527f4ec73f1a7b9c0ba8bf4a39
2016-08-16 20:29:17,PAYMENT SENT,0,0.0012,00346e5478ec0ecce21624dd07fcb3218e7a6ec73ba101e6910886289cb35703
2016-08-16 20:25:06,PAYMENT SENT,0,0.00170232,24e37f7b7da0332cfd1788fd921ea50c1533544159fdd96292f79445296325f6
2016-08-16 19:30:17,PAYMENT SENT,0,0.0037,437e421b3bb82a15c095589dfe777cc140c1a8f1980308d0a725e2ed10811466
2016-08-16 19:25:50,PAYMENT SENT,0,0.0049,4708abbdf3628b13cbf4fb2cbcab74b346e2658899fbdf36e2b1e68ec63596a0
2016-08-16 19:09:20,PAYMENT SENT,0,0.0069,e17c37e9ba9fe3549196b7c372800ad175c9507ff411f36ac7a0120ab6931781
2016-08-16 19:08:22,PAYMENT RECEIVED,0.01840232,0,f3f2672a3b95872166435bade26172674c722a0cb8c1e5862203ae4d3df20d28
2016-08-15 21:18:44,PAYMENT SENT,0,0.0016,ba843eb13f8b01e7f8e36bac2f7616449fa6352cf34cff98a1810371acec9a5a
2016-08-15 20:28:56,PAYMENT SENT,0,0.0059,0f44c2917ff87f01ef24fcdefe5371bdce027260683aa66611ae066b94eceb7a
2016-08-15 20:20:36,PAYMENT SENT,0,0.0056,c31f6895d66b3fa6a51ff4d03949e7c401bd2fde33e6a200786ac37d18bb2371
2016-08-15 20:07:05,PAYMENT SENT,0,0.0055,8b4cb17d93a0299f17d7afdec3bb19f0f860b360fcaeb8235de7fdf788ea6cc9
2016-08-15 20:01:24,PAYMENT SENT,0,0.0061,8cf3149364056cb7555577654fda92c32f151736facd154d4ebed6b4779a44b2
2016-08-15 19:43:01,PAYMENT SENT,0,0.00181214,8f08a3ac1a8571113188e0b349009ee3d9b6c632a278cf8846b82045a842299f
2016-08-15 19:42:01,PAYMENT SENT,0,0.0065,920acd76a801fe182167a3a6cc7659d2f20c524e040266e62320537ec784b254
2016-08-15 19:30:58,PAYMENT RECEIVED,0.023,0,1e76c5e038abe23b0ed1fe404479658260bdfd945f5e4577161077b5c724b79b
2016-08-15 18:15:42,PAYMENT SENT,0,0.0061,ff1f4633fc379e8ac9c13af41983a50532f594310dfe4b6e4a63c0f368960954
2016-08-15 17:47:30,PAYMENT SENT,0,0.0085,ba0adb1dfb1210473f72bf76b9dfbc6b8a86eeba9c7c8390932dc1b05fdcba73
2016-08-15 17:43:22,PAYMENT RECEIVED,0.02461214,0,672a0f014cd0327d521aa6778e373ee52d1ab2812990a1bb49411d1b21141f21
2016-08-14 15:10:16,PAYMENT SENT,0,0.00094082,11d377f1b73d675a23d85ed819ac9f061478559d7fe3f4c3d702865c2e92cbb1
2016-08-14 15:04:01,PAYMENT SENT,0,0.0032,e0050afd8f74e769265cf982894055b2b90e4141db963f2e9636ae5c721f69d3
2016-08-14 14:31:00,PAYMENT SENT,0,0.0043,46646aca924abcf56e267637ee2977951ef7d0132aaa371ee51adb4f098ec2cb
2016-08-14 14:22:13,PAYMENT SENT,0,0.0083,d300fbda83a9ecce17fbfce9c05c23460c3a06e0608d9c8ee59f902b806c2b95
2016-08-14 14:20:42,PAYMENT RECEIVED,0.01674082,0,717640380d85a90e80e4a77bd9689dd45399ce02ab83e5de7dd3e71a72cafd65
2016-08-11 20:16:04,PAYMENT SENT,0,0.00134629,a744e492ac2498ba4fd2f56a720fb0d0b0e95c186f699221995ce7b9abe059d0
2016-08-11 20:15:12,PAYMENT SENT,0,0.0032,7cebb1075f7cb483455ffd812b070e1c91c59b46277e84f540fb469a56b50658
2016-08-11 20:01:27,PAYMENT SENT,0,0.0079,88c45d0caec3cd209649ff08c48bba3fd844f89aa25a72276e5777a45acf1650
2016-08-11 18:04:21,PAYMENT RECEIVED,0.0109,0,45448f0a92f387bb79dadebf3d419c8aa69351e881ced5e80478109bb7a9c6ee
2016-08-11 17:29:15,PAYMENT SENT,0,0.0015,771a69d556fe5478197ebade4b7fed8750f7b961e639c22b7685c78fd3de5519
2016-08-11 17:18:32,PAYMENT SENT,0,0.0065,fadf73f2076b36acbd23b6f4d85f34149fe39ae07b35fefc05c9c653ee2d9883
2016-08-11 17:09:59,PAYMENT SENT,0,0.0059,ac41ffd5d87a61b78ab629b2d81e4436d0297f0e2586a19d980b9bd81ea104f5
2016-08-11 16:57:53,PAYMENT SENT,0,0.0048,e06f66438e9cecdf11bd9cf249ff8a5672742193074e66bbdf77b6ddc30cb7a3
2016-08-11 16:56:21,PAYMENT RECEIVED,0.02024629,0,41f4f8ff29ce31f2078d452396c63dfa209b39f1bbbf416222e8270fdfad7cce
2016-08-09 20:32:22,PAYMENT SENT,0,0.0032,f8435f6d5277d5468cf6fab11c648b22ecc19c7f0fa16336266113f1bbafd36e
2016-08-09 19:35:38,PAYMENT SENT,0,0.0073,02bd6aec82655e4096355c69cddce9759277884308d5d74c2cac7dc401217ce1
2016-08-09 19:30:24,PAYMENT RECEIVED,0.0091,0,5b56542d54aa6b93d1c2c01b73abd26b540d30db67ac0f35c3aa7161d3b10c8d
2016-08-09 19:13:02,PAYMENT SENT,0,0.0016,3aad7b7aa55429f6d27082c25b55c630c458ac6204789e408da8df1a403f0780
2016-08-09 19:11:17,PAYMENT RECEIVED,0.003,0,30422d3950af76f0878da5c22d69955535ddeea3b3c5afc643bbd2fce8221655
2016-08-09 16:23:54,PAYMENT SENT,0,0.00110252,9d20d68b574870b84319ccde82090d3eccde187ea72c684aedbf15db1f229769
2016-08-09 16:01:44,PAYMENT SENT,0,0.0045,f6de3f48bb104b74f1ad9df5729a1ecfdede965054ddbb4b8963dad1d6d44616
2016-08-09 15:58:34,PAYMENT SENT,0,0.0061,b4689143e71bf23e2e4092c68fbe878bbc69c487b150cf1115c0502172eed457
2016-08-09 15:52:41,PAYMENT SENT,0,0.0061,045299d1d4fbb3ad7fb628f23792561ac6b01cc6e7bafbe5ac540ca6b8d532d9
2016-08-09 15:31:42,PAYMENT RECEIVED,0.01780252,0,2350782f972f1a084f18621b8fc8e886aa403762c041979c3d627bab7e496ebd
2016-08-07 19:50:28,PAYMENT SENT,0,0.00115089,903d6072ea28efcfed1d6322a7b4ebaf837d376c1013ecdddb39229c7d7be344
2016-08-07 19:46:57,PAYMENT SENT,0,0.0041,02cda40a05bcbdd266d2fac3d88f86fc7a7eea52a5f44c1f06d90e7b471f2c61
2016-08-07 19:37:08,PAYMENT SENT,0,0.0062,724ed908b4ba05f8e56c46e1d9440c04ccfaa61fb8c03c63e074dd88d0c289b5
2016-08-07 19:31:04,PAYMENT SENT,0,0.0081,f88d58af82411f128193e54731e9fbeab5503c7dc3114556f526f781cccf300f
2016-08-07 19:29:41,PAYMENT RECEIVED,0.01955089,0,50183ec8235bab3d2e9878caaa6c5a309efb1d21e4c13d30ab963417461fc0dd
2016-08-07 01:10:06,PAYMENT SENT,0,0.00045327,111bf5285225ab2c93f4b849a93d9fb57e77ffac106e5baf9bd155ce01cd458f
2016-08-06 21:35:45,PAYMENT SENT,0,0.0041,0a8fbbb6aa0747787bfc42b0363d389f14e028edf5098fc6f556a34eec2131f1
2016-08-06 21:27:17,PAYMENT SENT,0,0.002,ed9fee3651a8b753a1dec3888be7925d78b7a75a46754afec401f911eac864d1
2016-08-06 21:24:11,PAYMENT SENT,0,0.0049,3444a38d55170f48e8479e7c3302a06492387d3b0b4ec6526347ec8e7088d260
2016-08-06 21:16:40,PAYMENT SENT,0,0.0065,5263f462ec29ca585b544ef795b20949e4ddbdc8905172d57de4fa6eb20f5a63
2016-08-06 21:01:42,PAYMENT RECEIVED,0.01795327,0,e665638f44b7a85d89ee83b5667f8b4e9c33e046e4c811e7ac30aa9e7a8ebcf8
2016-08-05 19:02:27,PAYMENT SENT,0,0.003,9fe8c40ad5119fe08f075a1fc177e0fba4984de4515cdc6544767c686ae17d02
2016-08-05 19:01:36,PAYMENT SENT,0,0.002,6120e4fbcb0550a9757032b87ba7fb000619adfd64a8b822f7c1683f7ffd7c6b
2016-08-05 18:57:30,PAYMENT SENT,0,0.002,35f1a39a426d2908f380aab421d46b7e7e5dbbe19156dec582236de676a6c63f
2016-08-05 18:56:10,PAYMENT SENT,0,0.0017867,9be85be0e4e6a5d04e2cbfd4da6b936771b694bf2f493c81216c69b4008684c0
2016-08-05 18:12:11,PAYMENT SENT,0,0.0061,cfe98d1b84850801a63751c285105c8c2190ae3e2743929a88ab4e417b814a03
2016-08-05 17:59:27,PAYMENT SENT,0,0.0071,ed4fa7e454d73bd2850384180b89e98550f880e2168fe25342661b5462745d0e
2016-08-05 17:49:02,PAYMENT RECEIVED,0.0219867,0,a4514e97012f7144f4c1548b0220a9dd4e69ec91eadc611b10f9759bea38c69e
2016-08-05 16:12:22,PAYMENT SENT,0,0.002,86bba5c817e943300c8d3107b87888ba46fb64b498736ff210e4081b836cfd8f
2016-08-05 16:11:14,PAYMENT SENT,0,0.001609,877cac12aaa6417cd0b89389b8580a1a1ea49b7ad6defa64b3c552bb871604cd
2016-08-05 16:08:08,PAYMENT SENT,0,0.0085,49628d0aeac63e245a8bf445a48a3c07c1c172cfa04f501581d1520dc8f0154f
2016-08-05 15:54:35,PAYMENT SENT,0,0.0076,be13f4ba122c0ef4c47a3425216105db33be5e653554f695b9c13eed6088b372
2016-08-05 15:54:04,PAYMENT RECEIVED,0.019454,0,5f8c42233a24faf9c788464349e976bf3c18198f22424cc0f0ef0fef56959196
2016-08-05 15:50:53,PAYMENT SENT,0,0.004,6f227dc5dea022757bb23e1af45ff937e8ef80315b80757bbe795b9878f59c7d
2016-08-05 15:40:55,PAYMENT SENT,0,0.0061,1c72bd81185d782859fcdf1e3461460be8d0d6b7bfe98dd32ae579c9bf866b9c
2016-08-05 15:23:41,PAYMENT SENT,0,0.0076,6a2b53899296999a5e7d7ece9e1d1afe554a1d419f846ec6e92751d17d7b9a82
2016-08-05 15:22:41,PAYMENT RECEIVED,0.017955,0,72464360a9d846af2fdb87052f117e5b393061d0280112996f384725f0a90dfe
2016-08-05 14:57:58,PAYMENT SENT,0,0.004245,97008f6d2ac7b8112a90b94f35c7806954dbdec869123180a3372b509eb1b5f7
2016-08-05 14:51:23,PAYMENT SENT,0,0.0041,bd4e9a575b80deeb6c4010d40dfb774402ba30d47706b8e90fd4b1e69e4cf6ba
2016-08-05 14:44:29,PAYMENT SENT,0,0.0081,9c8b8a63dd554b89b147b7fb760fc3645bc3d3c79afa668475828082c390778e
2016-08-05 14:44:21,PAYMENT RECEIVED,0.016445,0,df80f96f4c9a44528382201bd8685bbdcf169e1c5c20b58363fa103cb10cdc6c
2016-08-05 14:39:22,PAYMENT SENT,0,0.004,a9d2a030b293a01f37230faa485f2c6b591b22ac437c6974ab14bdd4efe9a9ee
2016-08-05 14:26:44,PAYMENT SENT,0,0.002,e420e1851e78eee4f816410f569c8974f651ee271deabd9d7c951072b154e60d
2016-08-05 14:20:24,PAYMENT SENT,0,0.001642,44dc11a6da46b5f070256ba0a6d2d5439e42d5e2f31e33c2d29c93db566b870a
2016-08-05 14:12:08,PAYMENT SENT,0,0.0085,310533d8e53ef69d4a5499c9460f3ba39d4799f50ca93dd7148b2ba7192cdec8
2016-08-05 14:10:47,PAYMENT RECEIVED,0.013469,0,b64f2af4c48f05c0d8723c0c7432d2bdb07f4e85f3c85ce5e4d7cfb06f31beb7
2016-08-05 14:01:42,PAYMENT SENT,0,0.0093,320cf989836b5eadd970e75b8021fe68381864587e5e60d9b0c096ebb25b4ef1
2016-08-05 14:00:39,PAYMENT RECEIVED,0.011973,0,7c5f40253c344442a6eb102bb6d602f48c99854e1b6561fb2bd5ba4a66ae7f01
2016-08-04 22:04:22,PAYMENT SENT,0,0.0023,674d36ee8dff8771b02d55663db7805f1ad6c4655dcf1fcd57ed20cec445baff
2016-08-04 22:01:41,PAYMENT SENT,0,0.002,62ac894520113bf6cd941eb002b510923b4fdb601b98df0499a317b3fa82a4fa
2016-08-04 21:55:21,PAYMENT SENT,0,0.00193109,4062749bce48ca701078fb09ca2a3f3a528c8f067f21d85402d69058214b88d7
2016-08-04 19:26:32,PAYMENT SENT,0,0.0077,6b0400da6847155b57c19548b08894b19af8678f2098092b91f3b1e8b183ae4c
2016-08-04 19:09:14,PAYMENT SENT,0,0.0069,b3cce3983767c99430d59c0bcd77a78d805cb36b8aec25a2d825a4f542f7e74d
2016-08-04 19:03:01,PAYMENT RECEIVED,0.02083109,0,c7b746551f0856848212236892e8dbb4565a22b9c1f7076d58f1e2e91b50a2f4
2016-08-04 18:16:41,PAYMENT SENT,0,0.00251953,d73e4cd1d37d036168160f4bdff9638e60500648eb8630a29f9f15577e1cf661
2016-08-04 18:14:08,PAYMENT SENT,0,0.0061,d87aa39b9aaf28f4fd107e88876b6119ace6aeaa7b9ed51ae3f239f6c860ffcf
2016-08-04 18:09:02,PAYMENT SENT,0,0.0073,5e43501590e7f5a17c3780aace1c8d7f02bbb9c41381cabac0bde90716f1a66b
2016-08-04 17:06:47,PAYMENT SENT,0,0.0079,63819c61041b02f4ce07a7f77735049ce92956aeb8f8a2f714537c14df707d50
2016-08-04 17:05:21,PAYMENT RECEIVED,0.02381953,0,3b2fe56a7a192a57f6777e2b8b15f33cf1a5812540ae7e4fb3b475f7cd5453c0
2016-08-03 21:13:24,PAYMENT SENT,0,0.0013,2872a12606ecb3aa748027e3599946e8ab10fe77ebf3ebbc45f0ab6b806edebe
2016-08-03 21:04:34,PAYMENT SENT,0,0.0017,9fa698dc76b777a5581779d678905667e883c1c407fa97476ce399e45cbeafe1
2016-08-03 20:27:48,PAYMENT SENT,0,0.0016,920db52a2cef36da565dc813d45b6b282c6b44e62267c12762b28bc708bd2a60
2016-08-03 20:21:26,PAYMENT SENT,0,0.00152244,52fa827f1fbb8be3a1a0eec4943ca744d7d27e73a3cf16ddf78e2612795f8821
2016-08-03 19:40:22,PAYMENT SENT,0,0.0061,a99acc4851d9deef107764d8a961ce39f0651ce473732c56847c94845b6ec237
2016-08-03 19:28:39,PAYMENT SENT,0,0.0089,d3f6924934d96463adbfa980431280d82474e6fce99482d969f50478c3f91119
2016-08-03 19:19:33,PAYMENT SENT,0,0.0051,5f7eb93bf2bb7c582546158312894d7a79d6af40dfad7f4dfa588fd3de297756
2016-08-03 19:16:35,PAYMENT RECEIVED,0.02622244,0,458829862eff7b66f433899cd1cb6ab84ce85f5915eaee8a6114f2d05b590148
2016-07-31 20:33:30,PAYMENT SENT,0,0.002,28a0a36c24a5bf8537314a240668fa49e3d650d280cb1d5cd5b8258881b32f48
2016-07-31 20:31:09,PAYMENT SENT,0,0.0018,c5dbec498fb771e780279075adf4b17ddb652ab1109db904cde66ca8d4579eda
2016-07-31 20:25:51,PAYMENT SENT,0,0.00170441,dd1ccc2ad14e0895a741ca561883428813969d9a46c47386f7751d8d732726db
2016-07-31 20:23:09,PAYMENT SENT,0,0.0042,a87b647cb852f733a61f93034fcedb019769d2c7e7a0c522423ff1d874e16e0a
